Date,Open,High,Low,Close,Volume,- SPREAD -
30-09-2021,79600.00,79600.40,78700.00,79367.70,486,900.40
29-09-2021,80411.00,80433.30,78868.15,79079.75,624,"1,565.15"
28-09-2021,81980.00,81980.00,79800.05,80551.50,624,"2,179.95"
27-09-2021,79878.45,81988.95,79111.00,81798.75,1623,"2,877.95"
24-09-2021,80200.00,80694.90,79044.00,79463.55,328,"1,650.90"
23-09-2021,80120.00,81008.05,80000.00,80163.20,2557,"1,008.05"
01-06-2022,77184.60,77500.00,76001.00,76291.50,395,"1,499.00"
22-09-2021,78200.05,80549.90,78200.05,80018.60,880,"2,349.85"
21-09-2021,79000.00,79043.90,78100.00,78437.75,645,943.90
20-09-2021,78776.15,79870.60,78630.35,78872.60,225,"1,240.25"
17-09-2021,80299.95,80300.00,78900.85,79387.40,443,"1,399.15"
16-09-2021,80495.80,80522.25,79833.40,79944.35,381,688.85
15-09-2021,80898.80,80933.80,80160.00,80239.10,210,773.80
14-09-2021,80299.00,80803.55,80125.65,80403.35,358,677.90
13-09-2021,79700.00,80400.00,79217.60,80160.60,415,"1,182.40"
09-09-2021,80608.00,81409.80,79749.10,79891.65,1447,"1,660.70"
08-09-2021,81680.00,81680.00,79835.00,80187.30,325,"1,845.00"
24-06-2022,69300.00,70774.55,68612.95,70410.60,763,"2,161.60"
31-05-2022,75350.00,78138.50,75350.00,77656.85,350,"2,788.50"
07-09-2021,81761.75,82272.50,80995.70,81060.25,652,"1,276.80"
06-09-2021,82400.00,83192.35,81236.90,81459.40,498,"1,955.45"
03-09-2021,81701.65,82595.00,81444.05,82368.45,500,"1,150.95"
02-09-2021,80549.90,81800.00,80107.00,81250.55,1132,"1,693.00"
01-09-2021,80300.00,80548.25,79300.00,79967.20,312,"1,248.25"
31-08-2021,78511.15,79900.00,78256.90,79716.30,1209,"1,643.10"
30-08-2021,77546.00,78365.70,77546.00,78207.05,443,819.70
27-08-2021,77199.00,77319.90,76534.50,76928.90,368,785.40
26-08-2021,77449.95,77449.95,76330.05,76543.80,462,"1,119.90"
25-08-2021,77694.45,77999.80,76729.35,77066.40,533,"1,270.45"
30-05-2022,75300.00,75750.00,75032.90,75348.20,287,717.10
24-08-2021,76200.00,77396.05,76052.50,77153.70,596,"1,343.55"
23-08-2021,79000.00,79000.00,75975.00,76183.20,1271,"3,025.00"
20-08-2021,79278.05,79278.05,77810.00,78114.00,465,"1,468.05"
18-08-2021,79198.65,79499.00,78921.00,79353.60,310,578.00
17-08-2021,78309.30,79149.95,77900.25,78711.80,407,"1,249.70"
16-08-2021,79500.00,79500.00,78191.90,78657.15,395,"1,308.10"
13-08-2021,78600.00,79200.00,78600.00,78818.60,465,600.00
12-08-2021,78289.85,78700.85,77610.00,78212.55,577,"1,090.85"
11-08-2021,78850.10,79868.00,77369.70,77586.90,1130,"2,498.30"
10-08-2021,80200.00,80931.15,78250.00,78830.00,1091,"2,681.15"
27-05-2022,75500.00,75649.95,74300.00,74679.15,167,"1,349.95"
09-08-2021,79600.00,82600.00,79146.10,80013.90,3641,"3,453.90"
06-08-2021,79940.00,80126.80,79013.95,79160.05,670,"1,112.85"
05-08-2021,80899.70,80900.00,79501.00,79750.45,433,"1,399.00"
04-08-2021,81408.40,81548.25,80242.45,80469.20,385,"1,305.80"
